排名,書名,作者,出版商,定價,折扣,售價,出版日期
52,ASP.NET Core 6 零基礎建立自己的部落格,劉駿嶢 – Jim(雞湯工程師),深智數位,790,79,624,2023/8/20
53,Python ✕ ChatGPT ✕ Excel 高效率打造辦公室作業 + 數據分析自動化,陳會安,旗標科技,699,79,552,2023/3/31
54,實戰 Tableau 資料分析與視覺化分析,松島七衣,碁峰資訊,480,79,379,2023/8/30
55,精通無瑕程式碼：工程師也能斷捨離！消除複雜度、提升效率的 17個關鍵技法 (The Art of Clean Code: Best Practices to Eliminate Complexity and Simplify Your Life),Christian Mayer 著 江玠峰 譯,博碩文化,600,78,468,2023/6/27
56,無瑕的程式碼－整潔的軟體設計與架構篇 (Clean Architecture: A Craftsman's Guide to Software Structure and Design),Robert C. Martin 著 林欣穎 譯、 陳錦輝 審校,博碩文化,580,78,452,2018/5/16
57,超圖解 C語言 -- 用資料結構 × 演算法突破 APCS,趙英傑,旗標科技,780,79,616,2022/11/25
58,影像辨識實務應用 -- 使用 C#【暢銷回饋版】,張逸中、李美億 著,博碩文化,500,78,390,2022/6/20
59,"網頁應用程式設計｜使用 Node 和 Express, 2/e (Web Development with Node and Express, 2/e)",Ethan Brown 著 賴屹民 譯,歐萊禮,580,79,458,2020/6/22
60,類神經網路實戰：使用 Python (Make Your Own Neural Network),Tariq Rashid 著 林賜 譯／博碩文化 審校,博碩文化,420,78,328,2018/10/12
61,"精通嵌入式 Linux 程式設計, 3/e (上)",Frank Vasquez、Chris Simmonds 著 錢亞宏 譯．博碩文化 審校,博碩文化,750,78,585,2023/7/17
62,軟體架構指標｜改善架構品質的案例研究 (Software Architecture Metrics: Case Studies to Improve the Quality of Your Architecture),Christian Ciceri 等 著 劉超群 譯,歐萊禮,580,79,458,2022/11/22
63,"精通機器學習｜使用 Scikit-Learn , Keras 與 TensorFlow, 2/e (Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow, 2/e)",Aurélien Géron 著 賴屹民 譯,歐萊禮,1200,79,948,2020/4/8
64,"Rust 程式設計, 2/e (Programming Rust: Fast, Safe Systems Development, 2/e)","Jim Blandy, Jason Orendorff, Leonora F. S. Tindall 著 賴屹民 譯",歐萊禮,1200,79,948,2022/8/10
65,ChatGPT 完整解析：API 實測與企業應用實戰,陳昭明 著,深智數位,620,79,489,2023/5/20
66,Python - 最強入門 ChatGPT 助攻邁向數據科學之路 - 王者歸來 (全彩印刷第四版),洪錦魁 著,深智數位,1200,79,948,2023/5/20
67,深入淺出 Kotlin (Head First Kotlin: A Brain-Friendly Guide),"Dawn Griffiths, David Griffiths 賴屹民",歐萊禮,780,79,616,2019/8/5
