MovieID,Release_Date,Title,Cast,Director,Genres,Vote_Average
308,2011-03-02,One Day,"Anne Hathaway, Jim Sturgess, Tom Mison, Jodie Whittaker",Lone Scherfig,"Drama, Romance",7.43
309,2011-03-08,Limitless,"Bradley Cooper, Robert De Niro, Abbie Cornish, Andrew Howard",Neil Burger,"Thriller, Mystery, Science Fiction",7.189
310,2011-03-24,Sucker Punch,"Emily Browning, Abbie Cornish, Jena Malone, Vanessa Hudgens",Zack Snyder,"Action, Fantasy, Thriller",6.186
311,2017-12-01,"Three Billboards Outside Ebbing, Missouri","Frances McDormand, Woody Harrelson, Sam Rockwell, Lucas Hedges",Martin McDonagh,"Crime, Drama",8.075
312,2003-09-17,Love Me If You Dare,"Guillaume Canet, Marion Cotillard, Thibault Verhaeghe, Joséphine Lebas-Joly",Yann Samuell,"Drama, Comedy, Romance",7.246
313,2000-02-03,The Beach,"Leonardo DiCaprio, Virginie Ledoyen, Guillaume Canet, Tilda Swinton",Danny Boyle,"Drama, Adventure, Romance, Thriller",6.5
314,2023-02-01,Asterix & Obelix: The Middle Kingdom,"Guillaume Canet, Gilles Lellouche, Vincent Cassel, Jonathan Cohen",Guillaume Canet,"Family, Comedy, Adventure",4.899
315,2010-12-20,Nothing to Declare,"Benoît Poelvoorde, Dany Boon, Julie Bernard, Christel Pedrinelli",Dany Boon,Comedy,5.9
316,1992-08-20,Man Bites Dog,"Benoît Poelvoorde, Rémy Belvaux, André Bonzel, Jacqueline Poelvoorde-Pappaert",André Bonzel,"Comedy, Crime",7.222
317,2015-09-02,The Brand New Testament,"Pili Groyne, Benoît Poelvoorde, Yolande Moreau, Catherine Deneuve",Jaco Van Dormael,"Comedy, Fantasy",6.7
318,1990-02-21,La Femme Nikita,"Anne Parillaud, Jean-Hugues Anglade, Tchéky Karyo, Jean Reno",Luc Besson,"Action, Thriller",7.098
319,1986-04-09,Betty Blue,"Jean-Hugues Anglade, Béatrice Dalle, Gérard Darmon, Consuelo De Haviland",Jean-Jacques Beineix,"Drama, Romance",7.2
320,2014-03-05,300: Rise of an Empire,"Sullivan Stapleton, Eva Green, Lena Headey, Callan Mulvey",Noam Murro,"Action, Drama, War",6.1
321,2012-10-25,The Hunt,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm",Thomas Vinterberg,Drama,8.099
322,1938-09-16,13 Chairs,"Heinz Rühmann, Hans Moser, Annie Rosar, Inge List",E.W. Emo,Comedy,6.3
323,2011-11-22,Hugo,"Asa Butterfield, Ben Kingsley, Chloë Grace Moretz, Sacha Baron Cohen",Martin Scorsese,"Adventure, Drama, Family",7.178
324,2008-05-07,The Boy in the Striped Pyjamas,"Asa Butterfield, Jack Scanlon, Vera Farmiga, David Thewlis",Mark Herman,"Drama, War, History",7.841
325,1994-09-10,Pulp Fiction,"John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis",Quentin Tarantino,"Thriller, Crime",8.489
326,2014-12-13,Kingsman: The Secret Service,"Colin Firth, Samuel L. Jackson, Mark Strong, Taron Egerton",Matthew Vaughn,"Crime, Comedy, Action, Adventure",7.633
327,2014-06-25,Transformers: Age of Extinction,"Mark Wahlberg, Stanley Tucci, Kelsey Grammer, Nicola Peltz Beckham",Michael Bay,"Science Fiction, Action, Adventure",5.926
328,2016-03-11,Sing Street,"Ferdia Walsh-Peelo, Lucy Boynton, Jack Reynor, Ben Carolan",John Carney,"Romance, Drama, Music",7.87
329,2023-02-15,Ant-Man and the Wasp: Quantumania,"Paul Rudd, Evangeline Lilly, Jonathan Majors, Kathryn Newton",Peyton Reed,"Action, Adventure, Science Fiction",6.4
330,2015-12-25,The Revenant,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter",Alejandro González Iñárritu,"Western, Drama, Adventure",7.53
331,2014-09-10,The Maze Runner,"Dylan O'Brien, Kaya Scodelario, Ki Hong Lee, Aml Ameen",Wes Ball,"Action, Mystery, Science Fiction, Thriller",7.177
332,2013-08-07,We're the Millers,"Jason Sudeikis, Jennifer Aniston, Emma Roberts, Will Poulter",Rawson Marshall Thurber,"Comedy, Crime",6.824
333,2020-09-11,The Devil All the Time,"Tom Holland, Bill Skarsgård, Riley Keough, Jason Clarke",Antonio Campos,"Crime, Drama, Thriller",7.215
334,2020-06-15,Babyteeth,"Eliza Scanlen, Toby Wallace, Essie Davis, Ben Mendelsohn",Shannon Murphy,"Drama, Comedy, Romance",6.9
335,2008-07-01,The Mummy: Tomb of the Dragon Emperor,"Brendan Fraser, Maria Bello, John Hannah, Luke Ford",Rob Cohen,"Adventure, Action, Fantasy",5.493
336,2006-12-08,Blood Diamond,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers",Edward Zwick,"Drama, Thriller, Action",7.541
337,2007-06-27,Transformers,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",Michael Bay,"Adventure, Science Fiction, Action",6.795
338,2009-06-19,Transformers: Revenge of the Fallen,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",Michael Bay,"Science Fiction, Action, Adventure",6.179
339,2011-06-28,Transformers: Dark of the Moon,"Shia LaBeouf, Josh Duhamel, John Turturro, Tyrese Gibson",Michael Bay,"Action, Science Fiction, Adventure",6.195
340,2014-07-30,Guardians of the Galaxy,"Chris Pratt, Zoe Saldaña, Dave Bautista, Vin Diesel",James Gunn,"Action, Science Fiction, Adventure",7.908
341,2019-03-06,Captain Marvel,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law",Anna Boden,"Action, Adventure, Science Fiction",6.829
342,2007-09-20,Resident Evil: Extinction,"Milla Jovovich, Oded Fehr, Ali Larter, Iain Glen",Russell Mulcahy,"Horror, Action, Science Fiction",6.295
343,2002-03-15,Resident Evil,"Milla Jovovich, Michelle Rodriguez, Eric Mabius, James Purefoy",Paul W. S. Anderson,"Horror, Action, Science Fiction",6.615
