MovieID,Release_Date,Title,Cast,Director,Genres,Vote_Average
438,1983-12-09,Scarface,"Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio",Brian De Palma,"Action, Crime, Drama",8.167
439,2012-05-09,Dark Shadows,"Johnny Depp, Michelle Pfeiffer, Helena Bonham Carter, Eva Green",Tim Burton,"Comedy, Fantasy",6.059
440,2013-10-03,Gravity,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",Alfonso Cuarón,"Science Fiction, Thriller, Drama",7.164
441,2015-06-17,Minions,"Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney",Pierre Coffin,"Family, Animation, Adventure, Comedy",6.401
442,2018-12-13,Bird Box,"Sandra Bullock, Trevante Rhodes, John Malkovich, Sarah Paulson",Susanne Bier,"Horror, Thriller, Drama",6.847
443,1985-02-08,Witness,"Harrison Ford, Kelly McGillis, Josef Sommer, Lukas Haas",Peter Weir,"Crime, Drama, Romance, Thriller",7.083
444,1988-10-14,The Accused,"Kelly McGillis, Jodie Foster, Bernie Coulson, Leo Rossi",Jonathan Kaplan,"Crime, Drama",7.0
445,2010-08-06,Flipped,"Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards",Rob Reiner,"Romance, Drama",7.996
446,2016-04-08,High Strung,"Keenan Kampa, Nicholas Galitzine, Jane Seymour, Sonoya Mizuno",Michael Damian,"Music, Romance, Drama",7.1
447,1992-09-16,The Oak,"Maia Morgenstern, Razvan Vasilescu, Victor Rebengiuc, Dorel Vișan",Lucian Pintilie,"Comedy, Drama",6.5
448,2014-12-18,The Invisible Boy,"Ludovico Girardello, Valeria Golino, Fabrizio Bentivoglio, Noa Zatta",Gabriele Salvatores,"Comedy, Adventure, Science Fiction, Fantasy",6.3
449,2001-05-11,The Profession of Arms,"Christo Jivkov, Sergio Grammatico, Dimitar Ratchkov, Fabio Giubbani",Ermanno Olmi,"Drama, History, War",6.7
450,2015-08-13,The Man from U.N.C.L.E.,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki",Guy Ritchie,"Comedy, Action, Adventure",7.088
451,2015-03-06,Cinderella,"Lily James, Cate Blanchett, Richard Madden, Stellan Skarsgård",Kenneth Branagh,"Romance, Fantasy, Family, Drama",6.812
452,2002-04-19,Murder by Numbers,"Sandra Bullock, Ben Chaplin, Ryan Gosling, Michael Pitt",Barbet Schroeder,"Crime, Drama, Thriller",6.1
453,2007-12-12,I Am Legend,"Will Smith, Alice Braga, Charlie Tahan, Dash Mihok",Francis Lawrence,"Drama, Science Fiction, Thriller",7.201
454,1997-08-22,Mimic,"Mira Sorvino, Jeremy Northam, Alexander Goodwin, Josh Brolin",Guillermo del Toro,"Horror, Science Fiction",6.06
455,1997-04-25,Romy and Michele's High School Reunion,"Mira Sorvino, Lisa Kudrow, Janeane Garofalo, Alan Cumming",David Mirkin,"Comedy, Romance",6.2
456,2019-10-01,Joker,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy",Todd Phillips,"Crime, Thriller, Drama",8.163
457,2013-10-18,12 Years a Slave,"Chiwetel Ejiofor, Michael Fassbender, Lupita Nyong'o, Benedict Cumberbatch",Steve McQueen,"Drama, History",7.944
458,2006-12-07,Apocalypto,"Rudy Youngblood, Raoul Max Trujillo, Gerardo Taracena, Iazua Larios",Mel Gibson,"Action, Drama, History",7.569
459,2016-05-13,Don't Blame the Kid,"Karla Souza, Ricardo Abarca, Biassini Segura, Gerardo Taracena",Gustavo Loza,"Comedy, Romance",7.7
460,2006-07-06,Pirates of the Caribbean: Dead Man's Chest,"Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård",Gore Verbinski,"Adventure, Fantasy, Action",7.355
461,1997-12-05,Good Will Hunting,"Matt Damon, Robin Williams, Ben Affleck, Stellan Skarsgård",Gus Van Sant,Drama,8.153
462,2000-04-13,American Psycho,"Christian Bale, Willem Dafoe, Jared Leto, Josh Lucas",Mary Harron,"Thriller, Drama, Crime",7.403
463,2003-05-30,Finding Nemo,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe",Andrew Stanton,"Animation, Family",7.824
464,2021-03-18,Nobody,"Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen, Christopher Lloyd",Ilya Naishuller,"Action, Thriller",7.976
465,1994-06-23,Forrest Gump,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field",Robert Zemeckis,"Comedy, Drama, Romance",8.476
466,2000-11-22,Unbreakable,"Bruce Willis, Samuel L. Jackson, Robin Wright, Spencer Treat Clark",M. Night Shyamalan,"Thriller, Drama, Mystery",7.14
467,2013-06-01,12 Rounds 2: Reloaded,"Randy Orton, Brian Markinson, Cindy Busby, Sean Rogerson",Roel Reiné,"Action, Adventure",5.5
468,2015-11-06,The Condemned 2,"Randy Orton, Eric Roberts, Wes Studi, Steven Michael Quezada",Roel Reiné,Action,5.2
469,2014-04-06,WWE WrestleMania XXX,"Randy Orton, John Cena, Nikki Garcia, AJ Lee",Kevin Dunn,"Action, Drama",7.9
470,2016-07-21,Skiptrace,"Jackie Chan, Johnny Knoxville, Fan Bingbing, Eric Tsang",Renny Harlin,"Action, Comedy, Thriller, Mystery",5.7
471,2015-01-09,The Scorpion King 4: Quest for Power,"Victor Webster, Ellen Hollman, Barry Bostwick, Will Kemp",Mike Elliott,"Action, Adventure, Fantasy",5.1
472,2007-04-26,‎The Slacker‎,"Pavel Derevyanko, Sergei Makovetsky, Elena Nikolaeva, Linda Nigmatullina",Roman Kachanov,"Comedy, Action",6.2
473,2017-12-09,Jumanji: Welcome to the Jungle,"Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan",Jake Kasdan,"Adventure, Comedy, Fantasy",6.824
474,2015-05-27,San Andreas,"Dwayne Johnson, Alexandra Daddario, Carla Gugino, Ioan Gruffudd",Brad Peyton,"Action, Drama, Thriller",6.232
475,2019-12-04,Jumanji: The Next Level,"Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan",Jake Kasdan,"Adventure, Comedy, Fantasy",6.91
476,2004-07-22,Catwoman,"Halle Berry, Benjamin Bratt, Sharon Stone, Lambert Wilson",Pitof,"Action, Fantasy, Crime",4.603
477,1999-03-30,10 Things I Hate About You,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik",Gil Junger,"Comedy, Romance, Drama",7.582
478,1924-12-04,Greed,"Gibson Gowland, Zasu Pitts, Jean Hersholt, Dale Fuller",Erich von Stroheim,"Drama, Crime",7.4
479,2021-01-29,Nomadland,"Frances McDormand, David Strathairn, Linda May, Swankie",Chloé Zhao,Drama,7.2
480,2007-04-19,Fracture,"Anthony Hopkins, Ryan Gosling, David Strathairn, Rosamund Pike",Gregory Hoblit,Thriller,7.283
481,1991-02-14,The Silence of the Lambs,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine",Jonathan Demme,"Crime, Drama, Thriller",8.348
482,2001-10-05,Training Day,"Ethan Hawke, Denzel Washington, Scott Glenn, Tom Berenger",Antoine Fuqua,"Action, Crime, Drama",7.496
483,2012-12-12,The Hobbit: An Unexpected Journey,"Martin Freeman, Ian McKellen, Richard Armitage, Graham McTavish",Peter Jackson,"Adventure, Fantasy, Action",7.35
484,2013-12-11,The Hobbit: The Desolation of Smaug,"Martin Freeman, Ian McKellen, Richard Armitage, Ken Stott",Peter Jackson,"Fantasy, Adventure, Action",7.572
485,2013-12-25,The Wolf of Wall Street,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Kyle Chandler",Martin Scorsese,"Crime, Drama, Comedy",8.035
486,2012-03-14,21 Jump Street,"Jonah Hill, Channing Tatum, Brie Larson, Dave Franco",Christopher Miller,"Action, Comedy, Crime",6.879
487,2014-06-05,22 Jump Street,"Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell",Christopher Miller,"Crime, Comedy, Action",6.839
488,2015-06-09,Inside Out,"Amy Poehler, Phyllis Smith, Bill Hader, Lewis Black",Pete Docter,"Animation, Family, Adventure, Drama, Comedy",7.917
489,2009-09-17,Cloudy with a Chance of Meatballs,"Bill Hader, Anna Faris, James Caan, Neil Patrick Harris",Christopher Miller,"Animation, Comedy, Family",6.613
490,2013-09-26,Cloudy with a Chance of Meatballs 2,"Bill Hader, Anna Faris, James Caan, Will Forte",Kris Pearn,"Animation, Family, Comedy",6.43
491,2009-03-11,17 Again,"Zac Efron, Leslie Mann, Thomas Lennon, Michelle Trachtenberg",Burr Steers,"Comedy, Fantasy, Drama, Romance",6.298
492,2017-12-20,The Greatest Showman,"Hugh Jackman, Zac Efron, Michelle Williams, Rebecca Ferguson",Michael Gracey,Drama,7.899
493,2006-01-20,High School Musical,"Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel",Kenny Ortega,"Comedy, Drama, Family, Music, Romance, TV Movie",6.6
494,2016-06-27,Nerve,"Emma Roberts, Dave Franco, Emily Meade, Miles Heizer",Ariel Schulman,"Mystery, Adventure, Crime",7.0
495,2010-03-22,Kick-Ass,"Aaron Taylor-Johnson, Chloë Grace Moretz, Nicolas Cage, Lyndsy Fonseca",Matthew Vaughn,"Action, Crime",7.123
496,2016-01-14,The 5th Wave,"Chloë Grace Moretz, Nick Robinson, Ron Livingston, Maggie Siff",J Blakeson,"Science Fiction, Adventure, Action",5.945
497,2013-10-16,Carrie,"Chloë Grace Moretz, Julianne Moore, Gabriella Wilde, Ansel Elgort",Kimberly Peirce,"Drama, Horror",6.026
498,2009-02-06,He's Just Not That Into You,"Ginnifer Goodwin, Justin Long, Bradley Cooper, Scarlett Johansson",Ken Kwapis,"Comedy, Romance, Drama",6.5
499,2011-05-05,Something Borrowed,"Ginnifer Goodwin, Kate Hudson, Colin Egglesfield, John Krasinski",Luke Greenfield,"Comedy, Drama, Romance",6.2
500,2017-08-03,The Dark Tower,"Idris Elba, Matthew McConaughey, Tom Taylor, Claudia Kim",Nikolaj Arcel,"Fantasy, Action, Science Fiction",5.715
501,2021-07-28,The Suicide Squad,"Margot Robbie, Idris Elba, John Cena, Joel Kinnaman",James Gunn,"Action, Comedy, Adventure",7.533
502,2016-06-18,The Secret Life of Pets,"Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate",Chris Renaud,"Adventure, Comedy, Animation, Family",6.271
503,2023-04-05,The Super Mario Bros. Movie,"Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black",Aaron Horvath,"Animation, Family, Adventure, Fantasy, Comedy",7.683
504,2013-07-11,Pacific Rim,"Charlie Hunnam, Rinko Kikuchi, Idris Elba, Max Martini",Guillermo del Toro,"Action, Science Fiction, Adventure",6.89
505,2016-05-11,The Angry Birds Movie,"Jason Sudeikis, Josh Gad, Danny McBride, Maya Rudolph",Clay Kaytis,"Animation, Adventure, Comedy, Family",6.211
506,1999-09-15,American Beauty,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",Sam Mendes,Drama,8.018
507,1995-07-19,The Usual Suspects,"Kevin Spacey, Gabriel Byrne, Stephen Baldwin, Kevin Pollak",Bryan Singer,"Drama, Crime, Thriller",8.187
508,2017-06-28,Baby Driver,"Ansel Elgort, Kevin Spacey, Lily James, Jon Hamm",Edgar Wright,"Action, Crime",7.449
509,2004-06-25,The Notebook,"Ryan Gosling, Rachel McAdams, Gena Rowlands, James Garner",Nick Cassavetes,"Romance, Drama",7.889
510,2009-12-23,Sherlock Holmes,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",Guy Ritchie,"Action, Adventure, Crime, Mystery",7.21
511,2019-05-29,Godzilla: King of the Monsters,"Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Ken Watanabe",Michael Dougherty,"Science Fiction, Action",6.679
512,2022-04-20,The Unbearable Weight of Massive Talent,"Nicolas Cage, Pedro Pascal, Sharon Horgan, Ike Barinholtz",Tom Gormican,"Action, Comedy, Crime",6.778
513,2015-05-29,Man Up,"Simon Pegg, Lake Bell, Rory Kinnear, Ken Stott",Ben Palmer,"Romance, Comedy",6.6
514,2018-03-08,A Wrinkle in Time,"Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling",Ava DuVernay,"Adventure, Science Fiction, Family, Fantasy",5.086
515,2009-12-08,The Princess and the Frog,"Anika Noni Rose, Bruno Campos, Jim Cummings, Michael-Leon Wooley",John Musker,"Animation, Romance, Fantasy, Family",7.204
516,2014-12-25,Selma,"David Oyelowo, Carmen Ejogo, Tom Wilkinson, Giovanni Ribisi",Ava DuVernay,"History, Drama",7.4
517,2012-12-20,Jack Reacher,"Tom Cruise, Rosamund Pike, Richard Jenkins, David Oyelowo",Christopher McQuarrie,"Crime, Drama, Thriller, Action",6.621
518,2009-10-10,2012,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandiwe Newton",Roland Emmerich,"Action, Adventure, Science Fiction",5.836
519,2007-06-22,1408,"John Cusack, Samuel L. Jackson, Mary McCormack, Jasmine Jessica Anthony",Mikael Håfström,"Horror, Mystery, Thriller",6.682
520,1999-10-29,Being John Malkovich,"John Cusack, John Malkovich, Cameron Diaz, Catherine Keener",Spike Jonze,"Comedy, Drama, Fantasy",7.416
521,2012-09-27,Taken 2,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser",Olivier Megaton,"Action, Crime, Thriller",6.344
522,2000-05-24,Mission: Impossible II,"Tom Cruise, Dougray Scott, Thandiwe Newton, Ving Rhames",John Woo,"Adventure, Action, Thriller",6.121
523,2007-11-21,Hitman,"Timothy Olyphant, Dougray Scott, Olga Kurylenko, Robert Knepper",Xavier Gens,"Action, Thriller, Drama",6.121
524,2010-10-01,The Social Network,"Jesse Eisenberg, Andrew Garfield, Armie Hammer, Justin Timberlake",David Fincher,Drama,7.365
525,2018-11-15,At Eternity's Gate,"Willem Dafoe, Rupert Friend, Oscar Isaac, Mads Mikkelsen",Julian Schnabel,Drama,6.94
526,2004-01-28,Anatomy of Hell,"Amira Casar, Rocco Siffredi, Alexandre Belin, Manuel Taglang",Catherine Breillat,Drama,4.8
527,2019-07-12,The Lion King,"Chiwetel Ejiofor, John Oliver, James Earl Jones, John Kani",Jon Favreau,"Adventure, Drama, Family, Animation",7.115
528,2022-05-04,Doctor Strange in the Multiverse of Madness,"Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong",Sam Raimi,"Fantasy, Action, Adventure",7.315
529,2007-01-01,"Dr André Gernez, le scandale du siècle - Volume 1",,Jean-Yves Bilien,Documentary,8.0
530,2004-06-11,The Chronicles of Riddick,"Vin Diesel, Thandiwe Newton, Karl Urban, Alexa Davalos",David Twohy,"Action, Science Fiction",6.521
531,2000-07-13,X-Men,"Patrick Stewart, Ian McKellen, Hugh Jackman, Anna Paquin",Bryan Singer,"Adventure, Action, Science Fiction",7.001
532,2017-02-28,Logan,"Hugh Jackman, Dafne Keen, Patrick Stewart, Elizabeth Rodriguez",James Mangold,"Action, Drama, Science Fiction",7.818
533,1990-04-19,Forbidden Love,"Julia Brendler, Hans-Peter Dahm, Gudrun Ritter, Dietrich Körner",Helmut Dziuba,"Romance, Drama",5.7
534,1991-01-10,The Girl in the Lift,"Barbara Sommer, Rolf Lukoschek, Karin Gregorek, Monika Lennartz",Herrmann Zschoche,"Drama, Romance",6.2
535,1972-03-30,The Zernik Murder Case,"Kurt Böwe, Agnes Kraus, Rolf Hoppe, Lissy Tempelhof",Helmut Nitzschke,"Mystery, Drama, Crime",5.2
536,1980-06-05,The Lion Carpenter,"Rolf Herricht, Annekathrin Bürger, Agnes Kraus, Franziska Troegner",Georgi Kissimov,Comedy,6.9
537,1961-10-05,Schneewittchen,"Doris Weikow, Marianne Christina Schilling, Wolf-Dieter Panse, Harry Hindemith",Gottfried Kolditz,"Fantasy, Family",6.6
538,1959-04-17,The Tinder Box,"Rolf Ludwig, Heinz Schubert, Rolf Defrank, Hannes Fischer",Siegfried Hartmann,"Fantasy, Family",7.0
539,2006-12-09,Letters from Iwo Jima,"Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryo Kase",Clint Eastwood,"Action, Drama, War",7.464
540,2006-12-06,Inland Empire,"Laura Dern, Jeremy Irons, Justin Theroux, Harry Dean Stanton",David Lynch,"Mystery, Horror, Thriller",7.0
541,2013-10-10,Captain Phillips,"Tom Hanks, Barkhad Abdi, Barkhad Abdirahman, Faysal  Ahmed",Paul Greengrass,"Action, Drama, Thriller",7.549
542,2020-09-25,Shortcut,"Jack Kane, Zanda Emlano, Zak Sutcliffe, Sophie Jane Oliver",Alessio Liguori,"Horror, Adventure, Fantasy",5.5
543,2015-07-17,Irrational Man,"Joaquin Phoenix, Emma Stone, Jamie Blackley, Parker Posey",Woody Allen,"Drama, Comedy, Crime",6.533
544,2012-05-30,Snow White and the Huntsman,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin",Rupert Sanders,"Adventure, Fantasy, Drama",5.984
545,2014-10-15,The Best of Me,"Michelle Monaghan, James Marsden, Luke Bracey, Liana Liberato",Michael Hoffman,"Drama, Romance",7.458
546,2017-01-22,To the Bone,"Lily Collins, Keanu Reeves, Carrie Preston, Lili Taylor",Marti Noxon,Drama,7.2
547,2015-07-14,Ant-Man,"Paul Rudd, Michael Douglas, Evangeline Lilly, Bobby Cannavale",Peyton Reed,"Science Fiction, Action, Adventure",7.079
548,1957-02-16,The Seventh Seal,"Max von Sydow, Bengt Ekerot, Gunnar Björnstrand, Nils Poppe",Ingmar Bergman,"Fantasy, Drama",8.195
549,2010-12-03,Black Swan,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey",Darren Aronofsky,"Drama, Thriller, Horror",7.681
550,2006-11-02,R U Invited?,"Oscar Contreras, John de los Santos, Christopher Jones, David Matherly",Israel Luna,"Comedy, Romance, Drama",5.8
551,2017-03-08,Kong: Skull Island,"Tom Hiddleston, Samuel L. Jackson, John Goodman, Brie Larson",Jordan Vogt-Roberts,"Action, Adventure, Fantasy",6.529
552,2001-02-08,Hannibal,"Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta",Ridley Scott,"Crime, Drama, Thriller",6.772
553,2008-12-25,The Curious Case of Benjamin Button,"Brad Pitt, Cate Blanchett, Taraji P. Henson, Julia Ormond",David Fincher,"Drama, Fantasy, Romance",7.584
554,2014-06-05,How to Train Your Dragon 2,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson",Dean DeBlois,"Fantasy, Action, Adventure, Animation, Comedy, Family",7.67
555,2015-11-25,Creed,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashād",Ryan Coogler,"Action, Drama",7.414
556,2019-06-12,Men in Black: International,"Chris Hemsworth, Tessa Thompson, Rebecca Ferguson, Kumail Nanjiani",F. Gary Gray,"Comedy, Science Fiction, Action",5.918
557,2016-08-03,Suicide Squad,"Will Smith, Jared Leto, Margot Robbie, Joel Kinnaman",David Ayer,"Action, Adventure, Fantasy",5.911
558,2011-08-09,The Help,"Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard",Tate Taylor,Drama,8.202
559,2001-11-01,"Monsters, Inc.","John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi",Pete Docter,"Animation, Comedy, Family",7.843
560,2016-03-10,10 Cloverfield Lane,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",Dan Trachtenberg,"Thriller, Science Fiction, Drama, Horror",6.985
561,2017-03-23,The Boss Baby,"Alec Baldwin, Steve Buscemi, Miles Bakshi, Jimmy Kimmel",Tom McGrath,"Animation, Comedy, Family",6.4
562,2013-06-19,Monsters University,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",Dan Scanlon,"Animation, Family",7.031
563,2014-12-25,Unbroken,"Jack O'Connell, Alex Russell, Domhnall Gleeson, Garrett Hedlund",Angelina Jolie,"Drama, War",7.438
564,2004-05-13,Troy,"Brad Pitt, Orlando Bloom, Eric Bana, Brian Cox",Wolfgang Petersen,"Adventure, History, War, Action",7.16
565,2011-10-27,In Time,"Justin Timberlake, Amanda Seyfried, Cillian Murphy, Olivia Wilde",Andrew Niccol,"Action, Thriller, Science Fiction",6.966
566,2013-12-18,Her,"Joaquin Phoenix, Scarlett Johansson, Amy Adams, Rooney Mara",Spike Jonze,"Romance, Science Fiction, Drama",7.858
567,1982-07-09,Tron,"Jeff Bridges, Bruce Boxleitner, David Warner, Cindy Morgan",Steven Lisberger,"Science Fiction, Action, Adventure",6.66
568,2016-10-05,The Girl on the Train,"Emily Blunt, Rebecca Ferguson, Haley Bennett, Justin Theroux",Tate Taylor,"Thriller, Mystery, Drama, Crime",6.4
569,2017-03-22,Life,"Jake Gyllenhaal, Ryan Reynolds, Rebecca Ferguson, Hiroyuki Sanada",Daniel Espinosa,"Horror, Science Fiction, Mystery, Thriller",6.432
570,2015-01-21,Ex Machina,"Domhnall Gleeson, Alicia Vikander, Oscar Isaac, Sonoya Mizuno",Alex Garland,"Drama, Science Fiction",7.573
571,2016-05-18,X-Men: Apocalypse,"James McAvoy, Michael Fassbender, Oscar Isaac, Jennifer Lawrence",Bryan Singer,"Action, Adventure, Science Fiction, Fantasy",6.512
572,2013-05-09,The Great Gatsby,"Leonardo DiCaprio, Tobey Maguire, Carey Mulligan, Joel Edgerton",Baz Luhrmann,"Drama, Romance",7.371
573,2018-02-28,Red Sparrow,"Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Charlotte Rampling",Francis Lawrence,"Thriller, Mystery",6.531
574,2012-05-30,Prometheus,"Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba",Ridley Scott,"Science Fiction, Adventure, Mystery",6.547
575,2015-07-23,Mission: Impossible - Rogue Nation,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson",Christopher McQuarrie,"Action, Adventure",7.197
576,2018-07-13,Mission: Impossible - Fallout,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg",Christopher McQuarrie,"Action, Adventure",7.424
577,2019-05-03,Tolkien,"Nicholas Hoult, Lily Collins, Colm Meaney, Derek Jacobi",Dome Karukoski,"War, Drama, Romance",6.971
